,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
358,Hong Gai,20.956,107.0946,71.6,100,75,4.61,VN,1616804209
359,Esim,4.8699,-2.2405,79.39,86,22,7.56,GH,1616804209
360,Muroto-misakicho,33.2833,134.15,60.8,51,75,6.91,JP,1616804210
361,Manado,1.487,124.8455,78.8,94,40,2.3,ID,1616804156
362,Businga,3.3333,20.8833,67.3,98,99,1.83,CD,1616804210
363,Camacha,33.0833,-16.3333,62.6,94,40,14.97,PT,1616804210
364,Zabul Province,32.25,67.25,57.47,35,7,5.61,AF,1616804211
365,Wanning,18.8003,110.3967,75.4,79,43,3.49,CN,1616804211
366,Milton,34.1322,-84.3007,72.0,66,63,3.27,US,1616804212
367,Chardara,41.2547,67.9692,56.61,86,30,9.82,KZ,1616804212
368,San Patricio,28.017,-97.5169,78.8,69,40,18.41,US,1616804213
369,Nouadhibou,20.931,-17.0347,64.4,88,5,16.11,MR,1616804213
370,Arrondissement de Bastia,42.6667,9.3333,54.0,93,0,3.44,FR,1616804213
371,Tarko-Sale,64.9225,77.785,2.17,94,26,9.8,RU,1616804214
372,College Place,46.0493,-118.3883,61.0,35,1,13.8,US,1616804214
373,West Wendover,40.7391,-114.0733,51.8,28,20,9.22,US,1616804214
374,Ixtapa,20.7,-105.2,73.4,73,40,13.8,MX,1616804215
375,Umuarama,-23.7664,-53.325,75.94,75,22,6.78,BR,1616804215
376,Liwale,-9.7667,37.9333,67.64,97,94,2.82,TZ,1616804216
377,Mendi,-6.1761,143.6513,68.04,69,98,2.86,PG,1616804216
378,Fare,-16.7,-151.0167,82.9,72,5,22.32,PF,1616804216
379,Paamiut,61.994,-49.6678,-6.92,82,49,18.48,GL,1616804217
380,Lengshuitan,26.4111,111.5956,67.68,89,87,1.54,CN,1616804217
381,Daru,-9.0763,143.2092,80.51,84,100,8.19,PG,1616804218
382,Turukhansk,65.8167,87.9833,27.88,97,100,13.62,RU,1616804218
383,La Palma,33.8464,-118.0467,64.99,51,1,10.36,US,1616804219
384,Codrington,-38.2667,141.9667,61.9,65,50,13.89,AU,1616804219
385,Huarmey,-10.0681,-78.1522,71.47,79,36,8.14,PE,1616804220
386,Naze,28.3667,129.4833,68.0,68,75,17.27,JP,1616804220
387,Kupang,-10.1667,123.5833,82.4,100,20,1.14,ID,1616804220
388,Farafangana,-22.8167,47.8333,73.13,91,21,3.02,MG,1616804221
389,Healdsburg,38.6105,-122.8692,73.4,25,1,4.61,US,1616804221
390,Sørland,67.667,12.6934,40.68,78,100,21.3,NO,1616804222
391,Colares,38.7992,-9.4469,55.0,76,91,11.99,PT,1616804222
392,Thongwa,16.7619,96.5278,78.8,94,99,2.3,MM,1616804222
393,Belaya Gora,68.5333,146.4167,-7.74,90,86,4.03,RU,1616804223
394,Alta,69.9689,23.2717,35.6,60,100,4.61,NO,1616804223
395,Yerbogachën,61.2767,108.0108,6.76,96,87,4.61,RU,1616803931
396,Harstad,68.799,16.5293,37.99,67,98,24.0,NO,1616804224
397,Buin,-33.7333,-70.75,69.8,30,0,9.22,CL,1616804224
398,Hay River,60.8156,-115.7999,21.2,45,15,5.75,CA,1616803931
399,Cockburn Town,21.4612,-71.1419,77.61,75,1,21.43,TC,1616804224
400,Oyama,36.3,139.8,57.0,47,20,4.61,JP,1616804225
401,Ancud,-41.8697,-73.8203,55.0,82,0,4.61,CL,1616804225
402,Kawalu,-7.3817,108.2082,74.68,90,94,0.65,ID,1616804123
403,Mankono,8.0586,-6.1897,83.01,48,80,6.08,CI,1616804226
404,Acapulco de Juárez,16.8634,-99.8901,82.4,69,40,6.91,MX,1616804226
405,Thurso,58.5927,-3.5259,33.8,86,39,3.44,GB,1616804227
406,Mount Isa,-20.7333,139.5,87.8,23,0,14.97,AU,1616804227
407,Leningradskiy,69.3833,178.4167,-12.24,91,48,4.79,RU,1616803993
408,Pampa,35.5362,-100.9599,69.8,17,1,14.97,US,1616803934
409,Merauke,-8.4667,140.3333,80.26,83,100,7.76,ID,1616804228
410,Barcelona,41.3888,2.159,57.0,88,20,8.05,ES,1616804228
411,Lixouri,38.2019,20.4314,49.15,55,1,3.22,GR,1616804229
412,Olden,61.8364,6.8064,39.0,85,100,5.99,NO,1616804229
413,Kaeo,-35.1,173.7833,69.01,81,96,8.99,NZ,1616804229
414,Kiryat Gat,31.61,34.7642,52.0,100,99,8.99,IL,1616804230
415,Kieta,-6.2167,155.6333,83.23,79,100,7.7,PG,1616804230
416,Port Lincoln,-34.7333,135.8667,65.08,59,33,9.66,AU,1616804230
417,Kantang,7.4054,99.5156,77.0,100,20,2.3,TH,1616804231
418,Polson,47.6936,-114.1632,45.0,63,100,10.0,US,1616804231
419,Paredon,16.0333,-93.8667,83.59,53,6,6.64,MX,1616804231
420,Erzin,36.9559,36.2,46.0,55,12,1.99,TR,1616804232
421,Leeton,-34.5667,146.4,69.01,64,75,12.66,AU,1616804232
422,Lakes Entrance,-37.8811,147.981,66.99,67,88,1.01,AU,1616804233
423,Port Hardy,50.6996,-127.4199,46.4,76,90,9.22,CA,1616804233
424,Samaná,19.2056,-69.3369,78.8,83,40,10.76,DO,1616804234
425,Palana,59.1167,159.9667,12.56,81,84,1.86,RU,1616804234
426,Giohar,2.7809,45.5005,76.48,74,32,12.3,SO,1616804234
427,Les Cayes,18.2,-73.75,76.73,75,45,5.93,HT,1616804235
428,Lata,40.1629,-8.3327,53.01,91,1,8.01,PT,1616804235
429,Oga,46.4631,10.347,48.0,93,20,2.3,IT,1616804235
430,Tabas,33.5959,56.9244,74.16,28,25,8.14,IR,1616804236
431,Saint-Augustin,51.226,-58.6502,19.42,79,100,17.92,CA,1616804236
432,Saint-Pierre,-21.3393,55.4781,77.0,73,7,5.75,RE,1616804236
433,Miraflores,19.2167,-98.8083,78.8,18,40,13.8,MX,1616804237
434,City of San Pedro,14.35,121.0167,86.0,65,20,3.44,PH,1616804237
435,Palmas Bellas,9.2319,-80.0867,81.0,80,65,15.01,PA,1616804237
436,Görele,41.0308,39.0031,41.0,93,75,2.3,TR,1616804238
437,Robe,-37.1833,139.75,61.52,69,6,12.97,AU,1616804238
438,Geraldton,-28.7667,114.6,64.4,72,17,10.36,AU,1616804238
439,Tubualá,9.5167,-79.0333,84.2,61,40,13.8,PA,1616804239
440,Dongsheng,39.8161,109.9776,41.88,20,13,9.55,CN,1616804239
441,Solenzo,12.1833,-4.0833,86.05,10,1,8.41,BF,1616804240
442,Butere,0.2064,34.4935,60.55,62,94,2.1,KE,1616804240
443,Comodoro Rivadavia,-45.8667,-67.5,57.2,88,0,4.61,AR,1616804061
444,Ratholo,-22.7245,27.572,67.42,37,0,2.64,BW,1616804240
445,Slave Lake,55.2834,-114.769,32.0,64,90,11.5,CA,1616804241
446,Barber,12.2833,-69.0667,78.8,73,20,13.8,CW,1616804241
447,Marechal Cândido Rondon,-24.5561,-54.0567,76.5,71,80,5.26,BR,1616804242
448,Russell,32.3502,-85.1999,68.0,94,75,2.08,US,1616804108
449,Bodaybo,57.8506,114.1933,22.3,92,100,0.85,RU,1616804242
450,Taoudenni,22.6783,-3.9836,72.39,8,4,12.5,ML,1616804243
451,Jennings,38.7192,-90.2604,60.8,59,75,12.66,US,1616804243
452,Turan,16.0678,108.2208,75.2,100,75,4.61,VN,1616804073
453,Marsá Maţrūḩ,31.3525,27.2453,53.6,50,40,6.91,EG,1616804244
454,Gurupi,-11.7292,-49.0686,78.6,66,98,3.89,BR,1616804244
455,Bloemfontein,-29.1211,26.214,51.8,93,10,2.3,ZA,1616804244
456,Maxixe,-23.8597,35.3472,73.78,89,33,7.81,MZ,1616804245
457,Emba,48.8264,58.1442,30.78,97,100,14.05,KZ,1616804245
458,Oistins,13.0667,-59.5333,77.0,65,40,21.85,BB,1616803991
459,Carutapera,-1.195,-46.02,73.22,95,100,1.79,BR,1616804246
460,Port Moresby,-9.4431,147.1797,84.2,79,75,6.91,PG,1616804246
461,Artyom,40.4723,50.333,46.4,87,90,9.22,AZ,1616804247
462,Mamou,10.5,-12.0,77.52,15,29,1.41,GN,1616804103
463,Muli,2.9167,73.5667,81.73,74,100,9.28,MV,1616804247
464,Atherton,53.5237,-2.4935,42.01,68,72,15.01,GB,1616804023
465,Govindgarh,27.5,76.9833,72.43,34,0,4.03,IN,1616804247
466,Eirunepé,-6.6603,-69.8736,74.61,94,66,1.61,BR,1616804248
467,Nizwá,22.9333,57.5333,74.5,32,43,2.39,OM,1616804248
468,Makakilo City,21.3469,-158.0858,82.4,69,90,8.05,US,1616804249
469,Roald,62.5833,6.1333,41.0,87,75,12.66,NO,1616804249
470,Half Moon Bay,37.4636,-122.4286,71.6,47,1,12.66,US,1616804249
471,Chifeng,42.2683,118.9636,47.95,67,34,4.18,CN,1616804250
472,The Hammocks,25.6715,-80.4445,79.0,65,1,9.22,US,1616804250
473,Puerto Escondido,15.85,-97.0667,82.4,74,40,3.44,MX,1616804250
474,Alta Floresta,-9.8756,-56.0861,80.6,83,20,2.3,BR,1616804250
475,Vryheid,-27.7695,30.7917,56.93,89,51,3.56,ZA,1616804251
476,Siparia,10.1333,-61.5,77.0,87,91,1.01,TT,1616804251
477,Pushkino,56.0172,37.8667,39.2,81,0,6.71,RU,1616804251
478,Hervey Bay,-25.2986,152.8535,82.4,54,1,2.3,AU,1616804061
479,Hamilton,39.1834,-84.5333,55.99,67,90,5.75,US,1616804108
480,Samarai,-10.6167,150.6667,83.8,75,93,11.34,PG,1616804252
481,Aksarka,66.5606,67.7975,-9.31,100,86,2.17,RU,1616804252
482,Lewistown,40.5992,-77.5714,53.6,66,1,8.05,US,1616804253
483,Valparaíso,-33.0393,-71.6273,66.2,59,0,16.11,CL,1616803973
484,Flinders,-34.5833,150.8552,75.99,56,6,5.99,AU,1616804253
485,Santander,43.4647,-3.8044,52.0,93,75,6.91,ES,1616804254
486,Poum,-20.2333,164.0167,80.98,69,4,7.92,NC,1616804254
487,Vicuña,-30.0319,-70.7081,68.0,30,0,0.89,CL,1616804254
488,Bom Jesus da Lapa,-13.255,-43.4181,74.32,34,69,3.87,BR,1616804255
489,Plettenberg Bay,-34.0527,23.3716,65.39,83,98,7.07,ZA,1616804255
490,Coloncito,8.3256,-72.0895,71.6,100,75,3.44,VE,1616804255
491,Dalbandin,28.8947,64.4101,73.11,13,0,4.16,PK,1616804256
492,Sabla,12.7525,4.7077,81.99,10,26,19.15,NG,1616804256
493,Barentu,15.1139,37.5928,71.65,58,37,5.86,ER,1616804257
494,Santa Isabel Rio Negro,-0.4139,-65.0192,74.84,97,45,3.04,BR,1616804257
495,Nakhon Thai,17.1006,100.8374,80.6,78,83,1.9,TH,1616804257
496,Baft,29.234,56.6057,56.35,33,1,6.67,IR,1616804258
497,Gamba,-2.65,10.0,77.41,82,99,4.05,GA,1616804258
498,Le Marin,14.4721,-60.8697,77.0,78,20,12.66,MQ,1616804259
499,Tonantins,-2.8731,-67.8022,74.53,96,83,2.04,BR,1616804259
500,Riyadh,24.6877,46.7219,82.4,16,0,11.5,SA,1616804006
501,Penzance,50.1186,-5.5371,43.0,87,40,17.27,GB,1616804260
502,Hīt,33.6416,42.8251,56.62,53,71,22.46,IQ,1616804229
503,Puerto Carreño,6.189,-67.4859,76.26,86,100,10.27,CO,1616804209
504,Surgut,61.25,73.4167,26.6,93,0,6.71,RU,1616804236
505,Pascagoula,30.3658,-88.5561,77.0,88,90,4.61,US,1616804260
506,Arbazh,57.6804,48.3065,31.8,84,99,7.23,RU,1616804260
507,Lucea,18.451,-78.1736,82.4,65,40,19.57,JM,1616804007
508,Katherine,-14.4667,132.2667,87.8,66,99,6.91,AU,1616804261
509,Bambanglipuro,-7.95,110.2833,78.96,83,63,2.86,ID,1616804262
510,Mama,58.3106,112.8986,25.2,91,100,1.3,RU,1616804262
511,Merrill,45.1805,-89.6835,39.2,56,1,3.89,US,1616804263
512,Buwenge,0.6422,33.1744,65.77,81,100,1.07,UG,1616804263
513,Butembo,0.15,29.2833,57.18,98,100,3.24,CD,1616804264
514,Banikoara,11.2985,2.4386,88.38,21,97,5.5,BJ,1616804264
515,Belmonte,-15.8631,-38.8828,78.8,73,0,8.05,BR,1616804264
516,Lompoc,34.6391,-120.4579,61.0,72,20,14.97,US,1616804265
517,Zuwārah,32.9312,12.082,56.77,58,0,9.13,LY,1616804265
518,Hobyo,5.3505,48.5268,79.16,69,12,11.41,SO,1616804265
519,Lanxi,29.2195,119.477,63.52,80,77,2.93,CN,1616804266
520,Northam,51.0333,-4.2167,46.0,78,92,17.0,GB,1616804266
521,Dunedin,-45.8742,170.5036,66.99,53,71,3.0,NZ,1616804267
522,Tambura,5.6,27.4667,68.14,93,100,6.13,SS,1616804268
523,Ðurđevo,45.3247,20.0647,44.6,86,0,2.3,RS,1616804268
524,Trairi,-3.2778,-39.2689,74.93,90,100,4.61,BR,1616804269
525,Nchelenge,-9.3451,28.734,69.73,86,100,4.05,ZM,1616804269
526,Assiut,27.181,31.1837,55.4,54,0,16.11,EG,1616804270
527,Waddān,29.1614,16.139,52.56,53,2,8.59,LY,1616804270
528,Boende,-0.2167,20.8667,68.68,98,98,0.92,CD,1616804271
529,Nexø,55.0607,15.1306,42.8,100,83,5.75,DK,1616803989
530,Gagret,31.6667,76.0667,64.36,29,2,3.58,IN,1616804271
531,Grand Gaube,-20.0064,57.6608,75.0,87,17,1.63,MU,1616804272
532,Burley,42.5357,-113.7928,48.2,34,20,14.97,US,1616804015
533,Saint Anthony,45.0205,-93.218,46.99,49,1,6.91,US,1616804272
534,Sydney,-33.8679,151.2073,75.2,43,0,9.22,AU,1616804010
535,Vanimo,-2.6741,141.3028,82.49,74,98,2.66,PG,1616804273
536,Honningsvåg,70.9821,25.9704,36.05,79,70,28.25,NO,1616804273
537,Pitimbu,-7.4706,-34.8086,75.2,100,40,5.75,BR,1616804273
538,Shache,38.4167,77.2406,55.83,28,65,8.75,CN,1616804274
539,Saint Peter,13.25,-59.6167,77.0,65,40,21.85,BB,1616804274
540,Acajutla,13.5928,-89.8275,89.6,40,20,4.61,SV,1616804239
541,‘Āhuimanu,21.4447,-157.8378,82.4,78,75,10.36,US,1616804275
542,Benalla,-36.55,145.9833,62.6,77,90,4.61,AU,1616804275
543,Sisimiut,66.9395,-53.6735,-10.59,88,76,11.21,GL,1616804275
544,Khuzdar,27.7384,66.6434,68.13,15,0,5.21,PK,1616804276
545,Yarmouth,41.7057,-70.2286,54.0,93,1,14.97,US,1616804276
546,Liebling,45.5775,21.3217,37.99,93,0,8.05,RO,1616804277
547,Portland,45.5234,-122.6762,57.0,47,40,1.68,US,1616803754
548,Saint-Joseph,-21.3667,55.6167,77.0,73,14,5.75,RE,1616804277
549,Ko Samui,9.5357,99.9357,82.99,75,44,10.85,TH,1616804277
550,Port Hawkesbury,45.6169,-61.3485,41.0,100,90,10.36,CA,1616804278
551,Prince Rupert,54.3161,-130.3201,42.8,93,90,12.66,CA,1616804278
552,Diphu,25.8333,93.4333,64.31,25,0,1.03,IN,1616804279
553,Bulolo,-7.2,146.65,82.85,67,90,3.42,PG,1616804279
554,Fenoarivo,-18.933,47.4354,64.4,100,75,5.75,MG,1616804279
555,Gādarwāra,22.9167,78.7833,73.15,17,0,3.42,IN,1616804280
556,Praia da Vitória,38.7333,-27.0667,54.0,87,0,6.42,PT,1616804280
557,Sosnovo-Ozerskoye,52.5249,111.5418,21.51,91,100,8.61,RU,1616804280
558,Kukushtan,57.6464,56.4952,32.0,80,0,2.24,RU,1616804281
559,Palmer,42.1584,-72.3287,66.2,45,75,26.46,US,1616804281
560,Tsiroanomandidy,-18.7667,46.0333,65.8,95,48,0.89,MG,1616804281
